public_essay_id,created_epoch,created_timestamp,public_prompt_id,public_user_id,user_prompt,essay_version_num,is_first_version,is_final_version,language,text,wi_suspecttokens,automarker_cefr_level,humannotator_cefr_level,split,cefr_mapped,word_count,length_category
essay_464518922f58cd70,1648130746,2022-03-24 14:05:46,prompt_91752a41d038711e,user_e52dc12def002422,user_e52dc12def002422_prompt_91752a41d038711e,3,False,True,Polish,"Hello Sam, I'm happy to see you tomorrow evening, please come around 6 pm, I'llhave some snacks, however, I don't know what would you like to drink  so bring something with you. There is some work on the main road at the moment so you will have to take a different route. You need to go through Soudbourne, turn into a Parkwood Road and then to a Harvey Road, turn the first right, keep straight on to a Harcourt Road and then turn first left into my road.  Anna",,B1+,A2+,train,A2,89,short
essay_be645125371cce84,1646766800,2022-03-08 19:13:20,prompt_23ed369963fb84a1,user_857036616d9f25cb,user_857036616d9f25cb_prompt_23ed369963fb84a1,11,False,True,Spanish,"I like to sleep in a dark and quiet room, but if there a small light, I don't mind. Sometimes, when there's a bit of noise, I can sleep without troubles. I can't sleep very well when the room is cold or hot. When I am watching TV, I like to sleep for a little while. If my neighbour has a party with loud music on Friday, it don't mind. I have a heavy sleep. ",,B1,A2+,train,A2,75,short
essay_8a6367b6ac1dca98,1652882994,2022-05-18 15:09:54,prompt_98e191fa5bded725,user_fb3f75e0a39b8a02,user_fb3f75e0a39b8a02_prompt_98e191fa5bded725,2,False,True,Romanian,"Hello, Cristina! How are you now?I'm sorry about your problem... I hope I can help you. What about your homework? I think I can send you what I wrote in the class today.I will do it every day if you agree. I want to visit you today.Can I? See you soon! Kisses, Veronika ",,B1,A2+,train,A2,53,short
essay_7317ee210bee1728,1613744963,2021-02-19 14:29:23,prompt_87f7c87fb31b5da2,user_c1202d2312d75177,user_c1202d2312d75177_prompt_87f7c87fb31b5da2,4,False,True,Polish,"I would like to tell you about my favourite dish. It's a Polish speciality that we mostly eat once a year on a Fat-Thursday.  I like it, because it's delicate and crunchy. It's also acutely sweet. ",,B1,A2+,train,A2,36,short
essay_6a498258871ef0ad,1583845225,2020-03-10 13:00:25,prompt_2ef4e350c1009968,user_b9eb0f3f59f860ce,user_b9eb0f3f59f860ce_prompt_2ef4e350c1009968,2,False,True,Hindi,"I know you have heard about it very much the most crowded city in India .It's true .This is the city of dream.The place where people don't sleep the place where dreams are most important then the peaceful sleep .Yes, you guessed it right , it's none other than Mumbai. My beautiful home town Mumbai. As you know Mumbai is famous for food and also for  the museum such as Shivaji Art museum.",,B1,A2+,train,A2,73,short
essay_a0175bbb457ac6b9,1648825815,2022-04-01 16:10:15,prompt_49f744b86a7de069,user_29907fe688340c18,user_29907fe688340c18_prompt_49f744b86a7de069,2,False,True,Vietnamese,"Hi bae, thanks for look after my house. I will give you a house key tomorrow. I don't plant anything at my house and I don't have a pet too. I will check mail by myselt.",,A2,A2+,dev,A2,36,short
essay_2236ddfebff0f8f1,1630665607,2021-09-03 11:40:07,prompt_4671630d1fa03592,user_93cec5ca9bdab1db,user_93cec5ca9bdab1db_prompt_4671630d1fa03592,5,False,True,Spanish,"Hi Rie, You're a kind person. I can come to dinner about 7 o´clock. I'd like to eat, rice and fried meat. Also with a beer, but no worry I'll brought that. See you soon.",,A2+,A2,train,A2,35,short
essay_4a141d5245b6f03d,1603298200,2020-10-21 17:36:40,prompt_a16c7dd5b5c59b57,user_fe22443efc4db1b1,user_fe22443efc4db1b1_prompt_a16c7dd5b5c59b57,5,False,True,Turkish,"Yes, I like do exercise. I do taekvando. I do exercise four times a week. I prefer to do it in the gym. Because I think doing exercise at the gym is easier then  doing exercise at outside. For exercise, I like riding a bike, playing football,  doing taekvando and playing chess. My favorite sports are taekvando and chess.",,A2,A2+,train,A2,59,short
essay_c11c2e7481655f98,1613570007,2021-02-17 13:53:27,prompt_40037060180c75db,user_34cf41bca812c5b3,user_34cf41bca812c5b3_prompt_40037060180c75db,2,False,True,Italian,"Unfortunately I have not much free time because I study a lot. But when I have some free time I love to go running and listening to music too. Obviusly when it is bad weather I listen to the music, otherwise I go to the park to running.",,A2,A2+,dev,A2,48,short
essay_e07038ad54696bc4,1610805400,2021-01-16 13:56:40,prompt_6305e66e9a1bd3db,user_92f00692e2786fd0,user_92f00692e2786fd0_prompt_6305e66e9a1bd3db,4,False,True,Burmese,"Hi Billal, I went on a trip to Yangon with my classmates  last week. This was my first time trip without my parents. I was entirely  excite throughout of this trip. We did a  temporary tent to live and sleep in there for one day. AS soon as we arrived , we went out to look for firewood for cooking rice and meats. We had our lunch in the afternoon which was  so delicious  I had eaten ever. We were very happpy in there because of getting  chance to touch the beauty of nature.",,B1,A2+,train,A2,94,short
essay_1a0c060d20fe5dab,1617853316,2021-04-08 04:41:56,prompt_7fb0941f7b739572,user_51f1eb9c60a4f386,user_51f1eb9c60a4f386_prompt_7fb0941f7b739572,3,False,True,Japanese,"Hi, As to the birthday celebration in Japan, I think it is almost the same as you wrote in your letter. Especially for children, we have a special dinner with the familiy for the birthday celebration. After the meal, we also sing a birthday song and eat a birthday cake togethter.  regards, ",,A2+,A2+,train,A2,52,short
essay_bc8feabc6e020d43,1613673737,2021-02-18 18:42:17,prompt_23ed369963fb84a1,user_e0279583f0b7bf33,user_e0279583f0b7bf33_prompt_23ed369963fb84a1,3,False,True,Spanish,"Hi  Usually I sleep in a dark but I need hear a podcast for clear up my mind. For example, when I went to slept yesterday I was preparing a video of Youtube about Seneca just before i adressed to the bed, after that it finished the video I was just sleeping. Normally i follow this steps every night although some nights I needn't anything simply I turn off lights and I fall sleep. Good night","184,192",A2,A2+,train,A2,76,short
essay_26c1df8c729a2ad6,1653033113,2022-05-20 08:51:53,prompt_43448f28d3ce551a,user_fc9b88f1beb540e8,user_fc9b88f1beb540e8_prompt_43448f28d3ce551a,3,False,True,Persian,Hi Chris we will travel to the museum with the subway. we get on the first station of the second subway line and get off  at the eighth station . we would like to see the ancient and native parts also you can bring your camera  for taking the picture. see you tomorrow,,A2+,A2+,train,A2,53,short
essay_c44aed40ab1d35e7,1595562845,2020-07-24 04:54:05,prompt_029cb9051e09e186,user_a15b258cac354c33,user_a15b258cac354c33_prompt_029cb9051e09e186,7,False,True,Vietnamese,I often listen to the music at my free time. I like listening to the music because it makes me unstressful and  have new energy for working. My favourist music is classical guitar performance. I like romantic songs performed by the most famous artist all over the world. I listened to the music last night.    ,,A2+,A2+,train,A2,55,short
essay_b10cdebdce0a3584,1600135041,2020-09-15 02:57:21,prompt_029cb9051e09e186,user_1775c1f82609017a,user_1775c1f82609017a_prompt_029cb9051e09e186,5,False,True,Vietnamese,"Due to Corona crisit We have much time at home, we can call it we have more free time at meantime. In my free time, I usually to read a book and hear English. When I read the book I can reach with ideas that from famous brained then We can learn from that some grate ideas.",,A2+,A2,train,A2,57,short
essay_ba6f62beb17567b1,1597718697,2020-08-18 03:44:57,prompt_49f744b86a7de069,user_1a57f63e762dc86f,user_1a57f63e762dc86f_prompt_49f744b86a7de069,4,False,True,Spanish,"Neighbour, here is a little list that you must pay attention.  Keep the keys in a safe place. You have to water the plants very often. Fill up the dog's plate. Pick up the mail from its container.  See you soon.",,A2+,A2+,train,A2,41,short
essay_21474895d933d385,1587533609,2020-04-22 06:33:29,prompt_9d22a5a9df98ce09,user_cf40c5eb72b4ea75,user_cf40c5eb72b4ea75_prompt_9d22a5a9df98ce09,8,False,True,Arabic,"From my point of view, 60 percent of teaching process it depends on the way that is a teacher presents the materials and lessons.  What the stratigies he used and exercise and methods to navigates ths benefits of the course. In addition how he makes assessment for the students to make sure they are understand the lessons.  The second, 40 percent walks around the teacher. the charisma, the technics he provides attracts the attention of the students.  In my opinion it is not about the years the teacher teaches  them or having a new teacher in each year. Many students tend to a good teacher reputation. Also. the views from his learners, are they satisfied regard to his teaching  or frustrated because of him, the scores the students got when he taught them.  obviously it is more than the teacher it is learning organziation, teaching procedures and skilled teacher in the end of the circle.","8,13,14,16",B1+,A2+,train,A2,155,medium
essay_0bfefe1d988da891,1606022452,2020-11-22 05:20:52,prompt_4671630d1fa03592,user_98a48e34646b963e,user_98a48e34646b963e_prompt_4671630d1fa03592,2,False,True,Turkish,Hi Rie. Thank you. I will come you tomorrow at 7 o'clock. I like to veal for dinner. But don't feel compulsory. I will eat anything that you labored.  See you tomorrow.,,A1+,A2+,train,A2,32,short
essay_f1bba7af7b8bbbf9,1583598475,2020-03-07 16:27:55,prompt_2ef4e350c1009968,user_c493c9711bbf8514,user_c493c9711bbf8514_prompt_2ef4e350c1009968,10,False,True,Spanish,"One of the important landmarks is, the 'Cake statue'. You can shop in our big mall. You can live in our houses too. There is a park called 'Orchid Park'. Also there is a museum in the square. There are restaurants of fast food, Italian food and all kinds of food in the world. You can go to the cinema and to the theatre at night time.",,B1,A2+,train,A2,67,short
essay_83602341bebd95b6,1597407918,2020-08-14 13:25:18,prompt_7fb0941f7b739572,user_1b903dc0c91336a5,user_1b903dc0c91336a5_prompt_7fb0941f7b739572,4,False,True,Chinese,Happy Birthday to you my friend. In my country how we celebrate birthday that I think it just the same as you did. Like us when we want to hold a birthday party to celebrate that we normally chosen a fancy restaurant for holding such this party and get together have fun.,,A2+,A2+,dev,A2,52,short
essay_0ed44a9c7b588727,1630211710,2021-08-29 05:35:10,prompt_58b9f5f522c0a1ba,user_c1cec92a59f53454,user_c1cec92a59f53454_prompt_58b9f5f522c0a1ba,10,False,True,Vietnamese,"In this flat world, every country has to open to the world if that country wants to push themselves forward, then a bridge to connect to the world is language. English, not by word, was chosen to become a globalization language, no country can deny it.For example, the first president of Singapore, Lee Kuan Yew, chosen English is the national language over Chinese, the history proves that his choice is a brilliant move. People know English can communicate with businessmen from the western world, students know English can learn with higher quality education material. In just two decades, Singapore became one of four dragons in Asia with the high living condition. So, if we want to become a global citizen, we must learn English, especially is communication. In some company, they only hire person has English certificate . Master four English skills will give you an enormous opportunity to advance your career and explore new horizons. You should learn English every day.","552,561,562,570",B2,B1+,train,B1,162,medium
