phase,essay_id,true_label,word_count,length_category,model,prompt_name,strategy,variant,prediction,timestamp
2,essay_464518922f58cd70,A2,89,short,gpt-4o-mini,minimal_v4,minimal,v4,A2,2026-01-14T19:03:07.885661
2,essay_464518922f58cd70,A2,89,short,phi-3-mini,minimal_v4,minimal,v4,B2,2026-01-14T19:03:28.394424
2,essay_464518922f58cd70,A2,89,short,gpt-4o-mini,minimal_v5,minimal,v5,A2,2026-01-14T19:03:29.619799
2,essay_464518922f58cd70,A2,89,short,phi-3-mini,minimal_v5,minimal,v5,".


### So",2026-01-14T19:03:31.441191
2,essay_464518922f58cd70,A2,89,short,gpt-4o-mini,minimal_v6,minimal,v6,B1,2026-01-14T19:03:32.525384
2,essay_464518922f58cd70,A2,89,short,phi-3-mini,minimal_v6,minimal,v6,**Solution,2026-01-14T19:03:34.551159
2,essay_464518922f58cd70,A2,89,short,gpt-4o-mini,rubric_v4,rubric,v4,B1,2026-01-14T19:03:35.082284
2,essay_464518922f58cd70,A2,89,short,phi-3-mini,rubric_v4,rubric,v4,B2,2026-01-14T19:03:37.377900
2,essay_464518922f58cd70,A2,89,short,gpt-4o-mini,rubric_v5,rubric,v5,Based on t,2026-01-14T19:03:38.254833
2,essay_464518922f58cd70,A2,89,short,phi-3-mini,rubric_v5,rubric,v5,Essay Eval,2026-01-14T19:03:40.883029
2,essay_464518922f58cd70,A2,89,short,gpt-4o-mini,rubric_v6,rubric,v6,B1,2026-01-14T19:03:41.552191
2,essay_464518922f58cd70,A2,89,short,phi-3-mini,rubric_v6,rubric,v6,".

Essay:
",2026-01-14T19:03:43.912760
2,essay_464518922f58cd70,A2,89,short,gpt-4o-mini,cot_v4,cot,v4,A2,2026-01-14T19:03:44.496595
2,essay_464518922f58cd70,A2,89,short,phi-3-mini,cot_v4,cot,v4,".

Essay A",2026-01-14T19:03:47.072897
2,essay_464518922f58cd70,A2,89,short,gpt-4o-mini,cot_v5,cot,v5,B1,2026-01-14T19:03:48.132435
2,essay_464518922f58cd70,A2,89,short,phi-3-mini,cot_v5,cot,v5,".

ANSWER:",2026-01-14T19:03:50.847587
2,essay_464518922f58cd70,A2,89,short,gpt-4o-mini,cot_v6,cot,v6,A2,2026-01-14T19:03:52.211494
2,essay_464518922f58cd70,A2,89,short,phi-3-mini,cot_v6,cot,v6,".


### So",2026-01-14T19:03:54.771996
2,essay_be645125371cce84,A2,75,short,gpt-4o-mini,minimal_v4,minimal,v4,A2,2026-01-14T19:03:55.885359
2,essay_be645125371cce84,A2,75,short,phi-3-mini,minimal_v4,minimal,v4,. No expla,2026-01-14T19:03:59.037102
2,essay_be645125371cce84,A2,75,short,gpt-4o-mini,minimal_v5,minimal,v5,A2,2026-01-14T19:03:59.474152
